Flow info:,2470170.0,1280.0,0.0,430.0,568.2657028986608,56140.0,203539.95007025273,1275013.0,0.0,2470170.0,117627.14385986328,290098.894970168,1275013.0,0.0,909443.0,41338.324546813965,93754.43829808493,300450.0,0.0,0.0,8.906269533052193,1300.0,592.1333333333333,603.8306354961103,364611.4363636364,1.0,1.0,1.0,1.0,0.0,612.6666666666666,430.0,65535.0,26883.0,0.0,0.0,0.0,0.0,0.0
--------------------------------------------------------------------------------------------------
Flow #6
Flow info:,3413137.0,1280.0,0.0,395.5625,545.8423421648416,117694.0,419924.8995534515,2240111.0,0.0,3413137.0,262548.9968519944,688213.007197941,2516832.0,0.0,907226.0,60481.723149617515,120372.55446392363,301064.0,0.0,0.0,4.101798482704415,1300.0,376.8666666666667,522.5111603053834,273017.91264367814,1.0,1.0,1.0,1.0,0.0,397.6666666666667,395.5625,65535.0,26883.0,0.0,0.0,0.0,0.0,0.0
--------------------------------------------------------------------------------------------------
Flow #7
Flow info:,3369082.0,1300.0,0.0,379.375,543.9419447750967,224605.0,524656.7396420802,2009627.0,0.0,2693278.0,384754.01060921804,854194.1772940859,2302857.0,0.0,3368911.0,481273.0039869036,834794.350078676,2289616.0,0.0,0.0,2.3745340901965997,1300.0,246.625,407.8277209803179,166323.45,1.0,0.0,1.0,1.0,0.0,266.625,379.375,186.0,254.0,0.0,0.0,0.0,0.0,0.0
--------------------------------------------------------------------------------------------------
Flow #8
Flow info:,100990.0,0.0,0.0,0.0,0.0,100990.0,0.0,100990.0,100990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.90196490416282,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,20.0,0.0,252.0,1048.0,0.0,0.0,0.0,0.0,0.0
--------------------------------------------------------------------------------------------------
Flow #9
Flow info:,102248.0,0.0,0.0,0.0,0.0,102248.0,0.0,102248.0,102248.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.780146854793767,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,20.0,0.0,254.0,162.0,0.0,0.0,0.0,0.0,0.0
--------------------------------------------------------------------------------------------------
Flow #10
Flow info:,103438.0,0.0,0.0,0.0,0.0,103438.0,0.0,103438.0,103438.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.667613996510322,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,20.0,0.0,252.0,1050.0,0.0,0.0,0.0,0.0,0.0
--------------------------------------------------------------------------------------------------
Flow #11
Flow info:,102932.0,1016.0,0.0,508.0,718.4204896855323,51466.0,72783.89845564503,102932.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.715153985842939,1016.0,338.6666666666667,586.5878734966597,344085.33333333326,1.0,0.0,1.0,1.0,0.0,358.6666666666667,508.0,255.0,1048.0,0.0,0.0,0.0,0.0,0.0
--------------------------------------------------------------------------------------------------
Flow #12
Flow info:,103192.0,0.0,0.0,0.0,0.0,103192.0,0.0,103192.0,103192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.690665151021559,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,20.0,0.0,252.0,1047.0,0.0,0.0,0.0,0.0,0.0
--------------------------------------------------------------------------------------------------
Flow #13
Flow info:,103079.0,0.0,0.0,0.0,0.0,103079.0,0.0,103079.0,103079.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.70128947946663,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,20.0,0.0,253.0,1047.0,0.0,0.0,0.0,0.0,0.0
--------------------------------------------------------------------------------------------------
Flow #14
Flow info:,102853.0,1016.0,0.0,508.0,718.4204896855323,51427.0,72728.0960282166,102853.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.722608177618296,1016.0,338.6666666666667,586.5878734966597,344085.33333333326,1.0,0.0,1.0,1.0,0.0,358.6666666666667,508.0,255.0,1047.0,0.0,0.0,0.0,0.0,0.0
--------------------------------------------------------------------------------------------------
Flow #15
Flow info:,104920.0,0.0,0.0,0.0,0.0,104920.0,0.0,104920.0,104920.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.531079428994742,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,20.0,0.0,252.0,1048.0,0.0,0.0,0.0,0.0,0.0
--------------------------------------------------------------------------------------------------
Flow #16
Flow info:,273425.0,31.0,0.0,15.5,21.920310216782973,136713.0,193340.74393620633,273425.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6573086809879074,31.0,10.333333333333334,17.897858344878397,320.3333333333333,1.0,0.0,1.0,1.0,0.0,30.333333333333332,15.5,252.0,296.0,0.0,0.0,0.0,0.0,0.0
--------------------------------------------------------------------------------------------------
Flow #17
Flow info:,134.0,0.0,0.0,0.0,0.0,134.0,0.0,134.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7463.174377224199,31.0,15.5,21.920310216782973,480.5,0.0,0.0,1.0,1.0,0.0,35.5,0.0,186.0,0.0,0.0,0.0,0.0,0.0,0.0
--------------------------------------------------------------------------------------------------
Flow #18
Flow info:,85.0,0.0,0.0,0.0,0.0,85.0,0.0,85.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11748.750700280112,31.0,15.5,21.920310216782973,480.5,0.0,0.0,1.0,1.0,0.0,35.5,0.0,216.0,0.0,0.0,0.0,0.0,0.0,0.0
--------------------------------------------------------------------------------------------------
